english_command,korean_command,intent,target_type,attribute,spatial_relation,spatial_reference,position,jsonl,split
scroll to the 3rd green text below the address,주소 아래에 스크롤하여 3번째 녹색 텍스트 이동,scroll,text,green,below,address,3rd,"{""text"": ""scroll to the 3rd green text below the address"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""text"", ""attribute"": ""green"", ""spatial_relation"": ""below"", ""spatial_reference"": ""address"", ""position"": ""3rd""}}",test
access 3rd panel left of the menu,메뉴 좌측에 3번째 탭 실행,open,tab,NONE,left_of,menu,3rd,"{""text"": ""access 3rd panel left of the menu"", ""labels"": {""intent"": ""open"", ""target_type"": ""tab"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""menu"", ""position"": ""3rd""}}",val
paste the 3rd text,3번째 텍스트 붙여넣기,paste,text,NONE,NONE,NONE,3rd,"{""text"": ""paste the 3rd text"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""3rd""}}",train
long-press image to the left of the settings,설정 왼쪽에 이미지 long-press,long-press,image,NONE,left_of,settings,NONE,"{""text"": ""long-press image to the left of the settings"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""image"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""settings"", ""position"": ""NONE""}}",train
touch toggle on top of the settings,설정 상단에 스위치 탭,tap,switch,NONE,above,settings,NONE,"{""text"": ""touch toggle on top of the settings"", ""labels"": {""intent"": ""tap"", ""target_type"": ""switch"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""settings"", ""position"": ""NONE""}}",train
erase white text element directly above the first email,first email 상단에 white text,delete,text,white,above,first email,NONE,"{""text"": ""erase white text element directly above the first email"", ""labels"": {""intent"": ""delete"", ""target_type"": ""text"", ""attribute"": ""white"", ""spatial_relation"": ""above"", ""spatial_reference"": ""first email"", ""position"": ""NONE""}}",train
remove text above the login,로그인 위에 텍스트 삭제,delete,text,NONE,above,login,NONE,"{""text"": ""remove text above the login"", ""labels"": {""intent"": ""delete"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""login"", ""position"": ""NONE""}}",test
scroll to menu to the left of the notifications,알림 왼쪽에 스크롤하여 메뉴 이동,scroll,menu,NONE,left_of,notifications,NONE,"{""text"": ""scroll to menu to the left of the notifications"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""menu"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""notifications"", ""position"": ""NONE""}}",train
press and hold black icon to the left of the cart,장바구니 왼쪽에 검정색 아이콘 길게 누르기,long-press,icon,black,left_of,cart,NONE,"{""text"": ""press and hold black icon to the left of the cart"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""icon"", ""attribute"": ""black"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""cart"", ""position"": ""NONE""}}",test
select link above the payment,결제 위에 링크 선택,click,link,NONE,above,payment,NONE,"{""text"": ""select link above the payment"", ""labels"": {""intent"": ""click"", ""target_type"": ""link"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""payment"", ""position"": ""NONE""}}",train
copy text,텍스트 복사,copy,text,NONE,NONE,NONE,NONE,"{""text"": ""copy text"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",test
select gray switch,회색 스위치 선택,click,switch,gray,NONE,NONE,NONE,"{""text"": ""select gray switch"", ""labels"": {""intent"": ""click"", ""target_type"": ""switch"", ""attribute"": ""gray"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
click switch below the first email,첫 번째 이메일 아래에 스위치 클릭,click,switch,NONE,below,first email,NONE,"{""text"": ""click switch below the first email"", ""labels"": {""intent"": ""click"", ""target_type"": ""switch"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""first email"", ""position"": ""NONE""}}",test
scroll down to the 3rd text,아래로 스크롤하여 3번째 텍스트 이동,scroll,text,NONE,NONE,NONE,3rd,"{""text"": ""scroll down to the 3rd text"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""3rd""}}",train
paste text,텍스트 붙여넣기,paste,text,NONE,NONE,NONE,NONE,"{""text"": ""paste text"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
tap on tab,탭 탭,tap,tab,NONE,NONE,NONE,NONE,"{""text"": ""tap on tab"", ""labels"": {""intent"": ""tap"", ""target_type"": ""tab"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
scroll to the 3rd orange text,스크롤하여 3번째 주황색 텍스트 이동,scroll,text,orange,NONE,NONE,3rd,"{""text"": ""scroll to the 3rd orange text"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""text"", ""attribute"": ""orange"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""3rd""}}",train
tap the 1st icon,1번째 아이콘 탭,tap,icon,NONE,NONE,NONE,1st,"{""text"": ""tap the 1st icon"", ""labels"": {""intent"": ""tap"", ""target_type"": ""icon"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""1st""}}",test
launch white button next to the home,홈 옆에 흰색 버튼 실행,open,button,white,next_to,home,NONE,"{""text"": ""launch white button next to the home"", ""labels"": {""intent"": ""open"", ""target_type"": ""button"", ""attribute"": ""white"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""home"", ""position"": ""NONE""}}",train
paste text to the left of the address,주소 왼쪽에 텍스트 붙여넣기,paste,text,NONE,left_of,address,NONE,"{""text"": ""paste text to the left of the address"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""address"", ""position"": ""NONE""}}",test
open the 3rd orange link below the login,로그인 아래에 3번째 주황색 링크 열기,open,link,orange,below,login,3rd,"{""text"": ""open the 3rd orange link below the login"", ""labels"": {""intent"": ""open"", ""target_type"": ""link"", ""attribute"": ""orange"", ""spatial_relation"": ""below"", ""spatial_reference"": ""login"", ""position"": ""3rd""}}",test
long-press the 2nd icon to the right of the checkout,결제 오른쪽에 2번째 아이콘 long-press,long-press,icon,NONE,right_of,checkout,2nd,"{""text"": ""long-press the 2nd icon to the right of the checkout"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""icon"", ""attribute"": ""NONE"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""checkout"", ""position"": ""2nd""}}",train
copy text,텍스트 복사,copy,text,NONE,NONE,NONE,NONE,"{""text"": ""copy text"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
click text to the left of the login,로그인 왼쪽에 텍스트 클릭,click,text,NONE,left_of,login,NONE,"{""text"": ""click text to the left of the login"", ""labels"": {""intent"": ""click"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""login"", ""position"": ""NONE""}}",val
tap on label left of the wi-fi,Wi-Fi 좌측에 텍스트 press,click,text,NONE,left_of,wi-fi,NONE,"{""text"": ""tap on label left of the wi-fi"", ""labels"": {""intent"": ""click"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""wi-fi"", ""position"": ""NONE""}}",train
open menu,메뉴 열기,open,menu,NONE,NONE,NONE,NONE,"{""text"": ""open menu"", ""labels"": {""intent"": ""open"", ""target_type"": ""menu"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
press and hold orange button,주황색 버튼 길게 누르기,long-press,button,orange,NONE,NONE,NONE,"{""text"": ""press and hold orange button"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""button"", ""attribute"": ""orange"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
copy the 2nd blue text,2번째 파란색 텍스트 복사,copy,text,blue,NONE,NONE,2nd,"{""text"": ""copy the 2nd blue text"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""blue"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""2nd""}}",train
scroll down to blue text below the help,help 아래쪽에 blue text,scroll,text,blue,below,help,NONE,"{""text"": ""scroll down to blue text below the help"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""text"", ""attribute"": ""blue"", ""spatial_relation"": ""below"", ""spatial_reference"": ""help"", ""position"": ""NONE""}}",train
hold down on text field on the left of the help,help 왼편에  text,long-press,text,NONE,left_of,help,NONE,"{""text"": ""hold down on text field on the left of the help"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""help"", ""position"": ""NONE""}}",train
copy text,텍스트 복사,copy,text,NONE,NONE,NONE,NONE,"{""text"": ""copy text"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
copy purple text below the payment,결제 아래에 보라색 텍스트 복사,copy,text,purple,below,payment,NONE,"{""text"": ""copy purple text below the payment"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""purple"", ""spatial_relation"": ""below"", ""spatial_reference"": ""payment"", ""position"": ""NONE""}}",train
tap on final btn under the notifications,알림 하단에 마지막 버튼 클릭,click,button,NONE,below,notifications,last,"{""text"": ""tap on final btn under the notifications"", ""labels"": {""intent"": ""click"", ""target_type"": ""button"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""notifications"", ""position"": ""last""}}",test
delete green label left of the home,home 왼쪽에 green text,delete,text,green,left_of,home,NONE,"{""text"": ""delete green label left of the home"", ""labels"": {""intent"": ""delete"", ""target_type"": ""text"", ""attribute"": ""green"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""home"", ""position"": ""NONE""}}",train
delete black image,검정색 이미지 삭제,delete,image,black,NONE,NONE,NONE,"{""text"": ""delete black image"", ""labels"": {""intent"": ""delete"", ""target_type"": ""image"", ""attribute"": ""black"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",test
delete purple image,보라색 이미지 삭제,delete,image,purple,NONE,NONE,NONE,"{""text"": ""delete purple image"", ""labels"": {""intent"": ""delete"", ""target_type"": ""image"", ""attribute"": ""purple"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
long-press label under the help,도움말 하단에 텍스트 길게 누르기,long-press,text,NONE,below,help,NONE,"{""text"": ""long-press label under the help"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""help"", ""position"": ""NONE""}}",train
paste the 1st text next to the search,검색 옆에 1번째 텍스트 붙여넣기,paste,text,NONE,next_to,search,1st,"{""text"": ""paste the 1st text next to the search"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""search"", ""position"": ""1st""}}",train
tap checkbox above the menu,메뉴 위에 체크박스 탭,tap,checkbox,NONE,above,menu,NONE,"{""text"": ""tap checkbox above the menu"", ""labels"": {""intent"": ""tap"", ""target_type"": ""checkbox"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""menu"", ""position"": ""NONE""}}",val
start first tab on the left side of the wi-fi,wi-fi 왼편에  tab,open,tab,NONE,left_of,wi-fi,1st,"{""text"": ""start first tab on the left side of the wi-fi"", ""labels"": {""intent"": ""open"", ""target_type"": ""tab"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""wi-fi"", ""position"": ""1st""}}",val
scroll to tab above the last item,마지막 항목 위에 스크롤하여 탭 이동,scroll,tab,NONE,above,last item,NONE,"{""text"": ""scroll to tab above the last item"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""tab"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""last item"", ""position"": ""NONE""}}",train
long-press pink text above the profile,프로필 위에 분홍색 텍스트 long-press,long-press,text,pink,above,profile,NONE,"{""text"": ""long-press pink text above the profile"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""text"", ""attribute"": ""pink"", ""spatial_relation"": ""above"", ""spatial_reference"": ""profile"", ""position"": ""NONE""}}",train
press and hold white button below the payment,결제 아래에 흰색 버튼 길게 누르기,long-press,button,white,below,payment,NONE,"{""text"": ""press and hold white button below the payment"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""button"", ""attribute"": ""white"", ""spatial_relation"": ""below"", ""spatial_reference"": ""payment"", ""position"": ""NONE""}}",train
scroll to the last tab above the wi-fi,Wi-Fi 위에 스크롤하여 마지막 탭 이동,scroll,tab,NONE,above,wi-fi,last,"{""text"": ""scroll to the last tab above the wi-fi"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""tab"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""wi-fi"", ""position"": ""last""}}",val
