command,intent,target,attribute,label,index,relation,reference
close search_box,close,search_box,primary,search,98,outside,table view
launch image,launch,image,,logout,66,center_right,
long_press popup,long_press,popup,green,,4,bottom_right,main content
l0gin th3 dropdown,login,dropdown,expanded,,71,second_row,
close calendar,close,calendar,bold,confirm,7,left,sidebar menu
close checkbox,close,checkbox,expanded,,71,nearest,
launch chart,launch,chart,danger,message,55,behind,
please launch image,launch,image,warning,share,24,top_right,search field
drag calendar,drag,calendar,focused,notification,32,last_column,dialog box
drag image,drag,image,,notification,78,left,submit button
close camera,close,camera,,upload,1,second_last,
pleas9 check cdart,check,chart,collapsed,login,,second_last,message field
accept notification,accept,notification,,,,under,
전송 dropdown,submit,dropdown,strikethrough,error,,next_to,
pyease unphn graph,unpin,graph,success,,3,first_row,modal
login image,login,image,warning,import,,after,
삭제해 password,delete,password,bold,next,,second_last,
delete image,delete,image,,notification,1,behind,popup
ac5ept file,accept,file,focused,retry,49,bottom_left,
please launch checkbox,launch,checkbox,bold,,16,inside,filter button
drag password,drag,password,,export,76,left_edge,sort button
please launch file,launch,file,green,login,72,between,
accept audio,accept,audio,,,91,center,
삭제해 chart,delete,chart,dark,,29,right_edge,
check chart,check,chart,focused,export,62,next_to,cancel button
close table,close,table,,empty,58,first_row,calendar view
login table,login,table,light,,77,under,
unpin graph,unpin,graph,,,77,left_edge,
check graph,check,graph,,,,third,
close the calendar,close,calendar,,,1,center,map view
login calendar,login,calendar,,phone,,left_edge,header
check the gal1ery,check,gallery,,import,40,last,
unpin slider,unpin,slider,large,,,below,modal
maunch file,launch,file,expanded,email,15,lower_center,submit button
close the search_box,close,search_box,,email,7,after,
you know long_press menu,long_press,menu,,,46,bottom_right,
check audio,check,audio,highlighted,register,0,above,
삭제해 입력,delete,input,italic,,57,inside,
launch the phone_number,launch,phone_number,,save,39,under,main content
drag 체크박스,drag,checkbox,,phone,,second_last,card list
drag slider,drag,slider,blue,,78,bottom_right,
삭제해 dialog,delete,dialog,light,,12,bottom_left,settings button
please drag slidwr,drag,slider,,,99,third,
de leaf dialog,delete,dialog,focused,,17,in_front_of,search bar
unpin dropdown,unpin,dropdown,italic,,17,third,
전송 text,submit,text,red,,53,after,
long_press notification,long_press,notification,,info,,center,
please long_press table,long_press,table,,warning,38,farthest,
accept tab,accept,tab,strikethrough,,42,next_to,cart icon
pleas3 long_press icon,long_press,icon,green,empty,,bottom_left,
unpin camera,unpin,camera,,,79,bottom_left,
지우세요 message,delete,message,,import,,next_to,
can you drag file,drag,file,,phone,37,inside,profile icon
accept document,accept,document,info,,74,before,
pleasb launch cfmera,launch,camera,,,87,next_to,
전송 document,submit,document,italic,export,,top_right,
long_press 아이콘,long_press,icon,yellow,,,center,
please delete camera,delete,camera,success,,97,next_to,
submit radio_button,submit,radio_button,,,,last_column,
삭제해 document,delete,document,strikethrough,,9,after,
please ac1ept menu,accept,menu,primary,,38,center,
accept radio_button,accept,radio_button,,,58,after,
check progress_bar,check,progress_bar,danger,,45,nearest,settings button
login the popup,login,popup,,ok,,center,password field
close camera,close,camera,,back,54,behind,cancel button
삭제 password,delete,password,primary,,,inside,menu button
login gallery,login,gallery,disabled,,3,nearest,menu button
close switch,close,switch,small,remove,,right_edge,
launch message,launch,message,,,,first_column,
long_press the progress_bar,long_press,progress_bar,,,96,lower_center,home button
can you login link,login,link,dark,save,30,left,
de1ete radio_button,delete,radio_button,underlined,add,8,second,
login progress_bar,login,progress_bar,blue,password,,behind,
you know close graph,close,graph,italic,,72,second,filter button
long_press popup,long_press,popup,,search,11,bottom_left,
unpin card,unpin,card,,address,15,second_last,
de leaf the gallery,delete,gallery,,,,lower_center,menu button
check calendar,check,calendar,,,83,bottom_left,
close texr,close,text,,,19,right_edge,footer
unpin password,unpin,password,secondary,share,,farthest,
login 체크박스,login,checkbox,,next,47,between,
like please login gallery,login,gallery,,,34,center_right,
launch phone_number,launch,phone_number,secondary,delete,,in_front_of,
check gallery,check,gallery,blue,add,76,outside,
drag dialog,drag,dialog,green,back,76,between,
check chart,check,chart,,warning,94,inside,
drag phone_number,drag,phone_number,primary,,5,next_to,
launch popup,launch,popup,,,26,lower_center,audio player
long_press file,long_press,file,underlined,confirm,9,farthest,
close 입력,close,input,focused,filter,93,before,
login document,login,document,,back,56,in_front_of,
close phone_number,close,phone_number,blue,,75,second_row,card list
check card,check,card,,confirm,83,before,
clo5e the notification,close,notification,,edit,,after,
drmg slidwr,drag,slider,info,,,under,card list
삭제해 아이콘,delete,icon,,register,8,bottom_left,search bar
삭제해 tab,delete,tab,dark,,,third,save button
can you unpin notification,unpin,notification,green,email,12,left,
delte 2he cmrd,delete,card,,home,18,last,
d0ag meng,drag,menu,large,,78,above,
close the tab,close,tab,underlined,,63,before,settings button
launch link,launch,link,red,submit,26,bottom_right,
drag progress_bar,drag,progress_bar,highlighted,,33,second,notification panel
login radio_button,login,radio_button,focused,cancel,,lower_center,dialog box
unpin file,unpin,file,success,back,60,third,
delete the graph,delete,graph,large,empty,,bottom_right,top navigation
actually please launch radio_button,launch,radio_button,primary,warning,,next_to,
login 체크박스,login,checkbox,,,19,center,phone field
close tab nearest delete button,close,tab,,,,nearest,delete button
please clkse dropxown,close,dropdown,yellow,,43,second_row,
login notification,login,notification,red,,,below,
accept switch,accept,switch,active,,9,between,
accept calendar,accept,calendar,,login,74,after,remove button
unpin graph,unpin,graph,expanded,empty,71,behind,
please launch radio_button,launch,radio_button,bold,,54,behind,save button
삭제 dialog,delete,dialog,light,,,left,
can you submit card,submit,card,italic,,28,next_to,upload button
제출 file,submit,file,blue,,,left_edge,search field
accept the search_box,accept,search_box,expanded,email,,nearest,
launch chart,launch,chart,italic,add,53,after,
unpin table second_row remove button,unpin,table,bold,,,second_row,remove button
long_press image,long_press,image,green,login,97,after,
check menu,check,menu,active,,57,first_column,password field
please drag popup,drag,popup,,,29,first_column,
please c1o5e tab,close,tab,,login,3,lower_center,
close the notification,close,notification,green,,,third,back button
long_press audio,long_press,audio,bold,previous,16,lower_center,submit button
login phone_number,login,phone_number,dark,,60,first_row,search bar
check switch,check,switch,,submit,48,nearest,
please accept password,accept,password,expanded,loading,63,bottom_right,card list
check camera,check,camera,danger,edit,85,third,
launch search_box,launch,search_box,underlined,,79,behind,
delet tyb,delete,tab,red,export,97,second,
delet tpe table,delete,table,underlined,loading,7,lower_center,
check progress_bar,check,progress_bar,strikethrough,error,82,second,
launch progress_bar,launch,progress_bar,,,,next_to,notification panel
launch 아이콘,launch,icon,,cancel,,second,card list
login dropdown,login,dropdown,highlighted,,65,before,
전송 text,submit,text,success,filter,14,bottom_right,
login password,login,password,collapsed,phone,6,second_row,
long_press the yellow checkboo,long_press,checkbox,yellow,info,77,between,
check the checkbox,check,checkbox,,,75,nearest,
지우세요 notification,delete,notification,,,,last,import button
check audio,check,audio,secondary,filter,,in_front_of,notification panel
login card,login,card,,,1,center,
actually please long_press tab,long_press,tab,,,,right_edge,header
long_press graph,long_press,graph,,phone,79,behind,export button
launch document,launch,document,active,save,33,second_last,
drag radio_button,drag,radio_button,yellow,success,14,after,
제출 notification,submit,notification,,,57,center,
long_press password,long_press,password,,password,9,behind,chart view
you know drag document,drag,document,,back,21,below,
long_press 입력,long_press,input,light,,8,under,address field
삭제 progress_bar,delete,progress_bar,,warning,39,left_edge,
launch table,launch,table,,next,,center_right,
delete the audio,delete,audio,collapsed,,47,next_to,upload button
unpin switch,unpin,switch,small,,60,last,
launch password,launch,password,active,,66,nearest,settings button
close radio_button,close,radio_button,strikethrough,search,68,lower_center,
please login icon,login,icon,secondary,,41,above,upload button
like login the input,login,input,,,73,first_column,
login dropdown,login,dropdown,danger,settings,,inside,
launch popup,launch,popup,info,address,8,bottom_left,upload button
accept message,accept,message,,,51,under,footer
please login popup,login,popup,,,98,behind,
plebse long_prese messa2e,long_press,message,strikethrough,edit,52,next_to,
check the link,check,link,focused,add,21,behind,
leng_press the link,long_press,link,,notification,40,second_last,search bar
accept text,accept,text,italic,,58,inside,address field
삭제 phone_number,delete,phone_number,,,19,under,
just please login radio_button,login,radio_button,danger,,21,second_row,
please unpin dialog,unpin,dialog,,,14,second_row,submit button
login graph,login,graph,secondary,,,bottom_right,chart view
can you 5rag checkbox,drag,checkbox,focused,email,54,second,delete button
login 체크박스,login,checkbox,,share,53,third,
long_press audio,long_press,audio,primary,,82,top_right,upload button
check card,check,card,active,save,,second,
drag tze icon,drag,icon,focused,,90,center,
close popup,close,popup,primary,login,,lower_center,remove button
maybe launch tab,launch,tab,active,sort,,above,home button
unpin the file,unpin,file,,,,second_last,
plvase unpin switch,unpin,switch,dark,next,80,third,
close camera,close,camera,secondary,add,26,outside,menu button
maybe drag input,drag,input,green,error,,second,
deleet fil3,delete,file,small,,,between,download button
please submit radio_button,submit,radio_button,danger,,42,farthest,
accept document,accept,document,,filter,44,center,popup
launch radio_button,launch,radio_button,,address,88,lower_center,footer
accept audio,accept,audio,,import,3,center_right,menu button
launch phone_number,launch,phone_number,large,next,,bottom_right,modal
